company_name,pan,gstin,industry,email,city,state,state_code,pincode,facility_type,commodities,hsn_codes,products,product_category,grade,price_per_unit_inr,unit,moq,max_order_qty,lead_time_days,min_order_value,max_order_value,annual_turnover_inr,years_in_operation,certifications,production_capacity,capacity_unit,profile_text,floor_price_inr,max_discount_pct
IndoThread Fabrics Pvt Ltd,KKITF1101K,27KKITF1101K1Z5,Textiles & Apparel,REPLACE_WITH_EMAIL_1,Mumbai,Maharashtra,27,400018,MANUFACTURING_PLANT,"Polyester Fabric,Cotton Knitwear,Bed Linen,Shirting Fabric,Blended Suiting","5407,6109,6302,5208,5112",Polyester Viscose Suiting Fabric,Textiles,Premium 120 GSM,195,Meter,3000,500000,10,585000,97500000,480000000,20,"ISO 9001,OEKO-TEX Standard 100,GOTS Organic",900000,Meter,Integrated textile manufacturing with weaving dyeing and finishing. Produces suiting shirting knitwear and home textiles. OEKO-TEX and GOTS dual certified. In-house design studio with 250 looms and garment export license.,170,12
NovaChem Solutions Pvt Ltd,LLNCS2202L,24LLNCS2202L1Z3,Chemicals & Petrochemicals,REPLACE_WITH_EMAIL_2,Vadodara,Gujarat,24,390015,MANUFACTURING_PLANT,"Caustic Soda,Reactive Dyes,Ethyl Acetate,Epoxy Resin,HDPE Granules","2815,3204,2915,3907,3901",Caustic Soda Flakes 98%,Chemicals,Industrial Grade 98%,44000,MT,10,5000,7,440000,220000000,1350000000,25,"ISO 9001,ISO 14001,REACH Compliant,GMP",9000,MT,Multi-product chemical manufacturer in Gujarat GIDC. Produces caustic soda chlor-alkali products reactive dyes specialty solvents and polymer resins. REACH and GMP compliant. Exports to 30 countries.,39000,8
LifeCore Pharma Pvt Ltd,MMLCP3303M,36MMLCP3303M1Z1,Pharmaceuticals,REPLACE_WITH_EMAIL_3,Hyderabad,Telangana,36,500090,MANUFACTURING_PLANT,"API,Tablets,Cough Syrup,Vaccines,Nutraceuticals","2942,3004,3004,3002,2106",Metformin HCl API,Pharmaceuticals,USP Grade,3400,Kg,50,10000,21,170000,34000000,800000000,18,"WHO GMP,US FDA,EU GMP,FSSAI,Schedule M",600,MT,Hyderabad pharma manufacturer with WHO GMP and US FDA approved facility. Produces APIs formulations liquid orals and nutraceuticals. Contract manufacturing for 40+ brands. Exports to regulated markets in US EU and Africa.,2900,10
DriveTech Auto Parts Pvt Ltd,NNDAP4404N,33NNDAP4404N1Z9,Auto Components,REPLACE_WITH_EMAIL_4,Chennai,Tamil Nadu,33,600044,MANUFACTURING_PLANT,"Engine Components,Die Cast Parts,Rubber Seals,Forged Parts,EV Battery Packs","8409,7616,4016,7326,8507",Cylinder Head Assembly,Auto Components,OEM Grade,8800,Piece,100,20000,14,880000,176000000,560000000,22,"IATF 16949,ISO 9001,ISO 14001,AIS 156",60000,Piece,Chennai auto component manufacturer supplying OEMs. IATF 16949 certified. Produces engine parts aluminium die castings rubber seals forgings and EV battery packs. CNC machining die casting and rubber moulding facilities.,7700,10
SteelEdge Industries Pvt Ltd,OOSEI5505O,27OOSEI5505O1Z7,Steel & Metals,REPLACE_WITH_EMAIL_5,Mumbai,Maharashtra,27,400063,MANUFACTURING_PLANT,"TMT Bars,HR Coils,SS Coils,Alloy Steel,ERW Pipes","7214,7208,7219,7228,7306",TMT Bar Fe500D 12mm,Steel & Metals,Fe500D IS 1786,54000,MT,25,5000,7,1350000,270000000,950000000,28,"BIS ISI,IS 1786,IS 2062,ASTM,RDSO,IBR Approved",30000,MT,Integrated steel manufacturer and stockist. Produces TMT bars HR coils stainless steel alloy rounds and ERW pipes. BIS ASTM and RDSO certified. Own rolling mill and finishing lines. Pan-India distribution with 15 depots.,49000,6
HarvestGold Foods Pvt Ltd,PPHGF6606P,09PPHGF6606P1Z5,Food Processing,REPLACE_WITH_EMAIL_6,Noida,Uttar Pradesh,09,201301,INTEGRATED,"Soybean Products,Fruit Concentrates,Mango Pulp,Spice Extracts,Frozen Foods","2304,2009,2007,1302,1602",De-Oiled Soybean Cake,Food Processing,Hi-Pro 48% Protein,40000,MT,25,5000,5,1000000,200000000,700000000,15,"FSSAI,ISO 22000,HACCP,BRC,Halal,Kosher",12000,MT,Multi-category food processing with cold chain and aseptic lines. Produces soybean meal fruit concentrates mango pulp oleoresins and frozen ready meals. FSSAI BRC Halal and Kosher certified. Exports to Middle East and Europe.,36000,6
CircuitWave Electronics Pvt Ltd,QQCWE7707Q,29QQCWE7707Q1Z3,Electronics & Electrical,REPLACE_WITH_EMAIL_7,Bangalore,Karnataka,29,560100,MANUFACTURING_PLANT,"LED Panels,PCBs,Transformers,IoT Gateways,Solar Inverters","9405,8534,8504,8471,8504",LED Panel Light 40W,Electronics & Electrical,BIS ISI Approved,395,Piece,200,50000,7,79000,19750000,300000000,12,"BIS ISI,ISO 9001,IPC-A-600,UL Listed,CE,MNRE,CPRI Tested",120000,Piece,Bangalore electronics manufacturer producing LED lighting PCBs power transformers IoT hardware and solar inverters. BIS UL CE and MNRE certified. Serves government tenders defence and commercial infrastructure projects.,350,8
FlexiMould Plastics Pvt Ltd,RRFMP8808R,24RRFMP8808R1Z1,Plastics & Rubber,REPLACE_WITH_EMAIL_8,Ahmedabad,Gujarat,24,382445,MANUFACTURING_PLANT,"HDPE Containers,Flexible Packaging,Rubber Hoses,PVC Pipes,PP Compounds","3923,3920,4009,3917,3902",HDPE Jerry Can 20L,Plastics & Rubber,FDA Grade HDPE,100,Piece,500,100000,7,50000,10000000,240000000,18,"ISO 9001,BIS ISI,FDA Compliant,BRC Packaging,IS 4985,IATF 16949",150000,Piece,Gujarat plastics and rubber manufacturer with injection moulding extrusion and compounding. Produces HDPE containers flexible packaging rubber hoses PVC pipes and automotive PP compounds. BIS FDA and BRC certified.,85,10
BuildPrime Materials Pvt Ltd,SSBPM9909S,08SSBPM9909S1Z9,Building Materials & Ceramics,REPLACE_WITH_EMAIL_9,Jaipur,Rajasthan,08,302012,MANUFACTURING_PLANT,"Vitrified Tiles,Marble Slabs,Red Bricks,Sanitaryware,Cement","6907,6802,6901,6910,2523",600x600 Vitrified Floor Tile,Building Materials,GVT Glossy,195,Sq Meter,200,50000,7,39000,9750000,380000000,20,"ISO 9001,CE Mark,BIS ISI,IS 2222,IS 774,IS 1489",120000,Sq Meter,Rajasthan building materials manufacturer and processor. Produces vitrified tiles processed marble wire-cut bricks sanitaryware and PPC cement. BIS certified across all product lines. Supplies to large construction and infra projects pan-India.,172,10
PrecisionCraft Machines Pvt Ltd,TTPCM1010T,33TTPCM1010T1Z7,Industrial Machinery,REPLACE_WITH_EMAIL_10,Coimbatore,Tamil Nadu,33,641035,MANUFACTURING_PLANT,"CNC Lathes,Pumps,Knitting Machines,Compressors,Carbide Inserts","8458,8413,8447,8414,8207",CNC Turning Center TC-200,Industrial Machinery,Fanuc Controlled,1900000,Unit,1,50,45,1900000,95000000,300000000,20,"ISO 9001,CE Mark,BIS ISI,IS 9079,BEE Star Rated",250,Unit,Coimbatore industrial machinery manufacturer. Produces CNC turning centers centrifugal pumps circular knitting machines screw compressors and tungsten carbide cutting tools. CE and BIS certified. Serves textile automotive and general engineering sectors.,1750000,6
