company_name,pan,gstin,industry,email,city,state,state_code,pincode,facility_type,commodities,hsn_codes,products,product_category,grade,price_per_unit_inr,unit,moq,max_order_qty,lead_time_days,min_order_value,max_order_value,annual_turnover_inr,years_in_operation,certifications,production_capacity,capacity_unit,profile_text,floor_price_inr,max_discount_pct
Surat Synfab Industries Pvt Ltd,AASSI1234A,24AASSI1234A1Z5,Textiles & Apparel,sales@suratsynfab.com,Surat,Gujarat,24,395003,MANUFACTURING_PLANT,"Polyester Fabric,Synthetic Yarn,Woven Textiles","5407,5402,5208",Polyester Viscose Suiting Fabric,Textiles,Premium 120 GSM,185,Meter,5000,500000,7,925000,92500000,450000000,18,"ISO 9001,OEKO-TEX Standard 100",800000,Meter,Integrated polyester fabric manufacturer with 200+ looms. Specializes in suiting shirting and dress material fabrics. OEKO-TEX certified for export quality. In-house dyeing and finishing facility at Sachin GIDC.,165,12
Tirupur Knits Export Ltd,BBTKE5678B,33BBTKE5678B1Z3,Textiles & Apparel,orders@tirupurknits.com,Tirupur,Tamil Nadu,33,641604,MANUFACTURING_PLANT,"Cotton Knitwear,T-Shirts,Hosiery","6109,6110,6104",Cotton Knitted T-Shirts,Textiles,Combed Cotton 180 GSM,220,Piece,2000,200000,10,440000,44000000,320000000,22,"GOTS Organic,SEDEX,BSCI",500000,Piece,Leading Tirupur knitwear exporter manufacturing cotton t-shirts polo shirts and casual wear. GOTS certified organic cotton line. Capacity for 15000 pieces per day with embroidery and printing units.,195,10
Panipat Home Textiles Corp,CCPHT9012C,06CCPHT9012C1Z1,Textiles & Apparel,info@panipathome.com,Panipat,Haryana,06,132103,MANUFACTURING_PLANT,"Bed Linen,Towels,Rugs","6302,6301,5702",Cotton Bed Sheet Set,Textiles,300 Thread Count,850,Set,500,100000,12,425000,85000000,180000000,15,"ISO 9001,OEKO-TEX",150000,Set,Panipat-based home textiles manufacturer producing bedsheets towels and bath linen. 300TC and 400TC cotton sateen specialization. Export to 15+ countries with OEKO-TEX certification.,750,12
Bhilwara Suiting Mills Ltd,DDBSM3456D,08DDBSM3456D1Z9,Textiles & Apparel,export@bhilwarasuit.com,Bhilwara,Rajasthan,08,311001,MANUFACTURING_PLANT,"Suiting Fabric,Worsted Wool,Blended Textiles","5112,5515,5407",Polyester Wool Blended Suiting,Textiles,Tropical Weight,420,Meter,3000,300000,14,1260000,126000000,550000000,25,"ISO 14001,Woolmark Certified",600000,Meter,Premium suiting fabric manufacturer in Bhilwara cluster. Produces poly-wool and poly-viscose blended suitings for domestic and export markets. Woolmark certified quality.,370,8
Erode Dyeing Works Pvt Ltd,EEEDW7890E,33EEEDW7890E1Z7,Textiles & Apparel,dye@erodeworks.com,Erode,Tamil Nadu,33,638001,MANUFACTURING_PLANT,"Dyed Fabric,Printed Textiles,Yarn Dyed","5208,5209,5210",Yarn Dyed Cotton Shirting,Textiles,80x80 Poplin,145,Meter,10000,1000000,8,1450000,145000000,220000000,20,"ZLD Compliant,ISO 9001",1200000,Meter,Erode-based textile dyeing and processing house. Zero liquid discharge compliant facility. Specializes in reactive and vat dyed cotton fabrics for shirt and dress material manufacturers.,125,10
Gujarat Alkali Chemicals Ltd,FFGAC1234F,24FFGAC1234F1Z5,Chemicals & Petrochemicals,supply@gujalkali.com,Vadodara,Gujarat,24,390003,MANUFACTURING_PLANT,"Caustic Soda,Chlorine,Hydrochloric Acid","2815,2801,2806",Caustic Soda Flakes 98%,Chemicals,Industrial Grade 98%,42000,MT,20,5000,10,840000,210000000,1200000000,30,"ISO 9001,ISO 14001,REACH Compliant",8000,MT,Major caustic soda and chlor-alkali producer in Gujarat GIDC. 250 TPD capacity membrane cell plant. Supplies to pulp paper textiles and water treatment industries across Western India.,38000,8
Ankleshwar Specialty Chem Corp,GGANC5678G,24GGANC5678G1Z3,Chemicals & Petrochemicals,bulk@ankleshwarchem.com,Ankleshwar,Gujarat,24,393001,MANUFACTURING_PLANT,"Dyes,Intermediates,Specialty Chemicals","3204,2921,2933",Reactive Dyes H-Grade,Chemicals,Bifunctional Reactive,580,Kg,500,50000,14,290000,29000000,380000000,16,"ISO 9001,GMP,ZDHC Level 3",2000,MT,Ankleshwar GIDC specialty chemicals manufacturer producing reactive dyes acid dyes and pharmaceutical intermediates. ZDHC Gateway Level 3 certified. Exports to 25+ countries.,510,12
Vapi Organic Industries Pvt Ltd,HHVOI9012H,24HHVOI9012H1Z1,Chemicals & Petrochemicals,orders@vapiorganic.com,Vapi,Gujarat,24,396195,MANUFACTURING_PLANT,"Organic Solvents,Esters,Acetates","2915,2914,2905",Ethyl Acetate 99.5%,Chemicals,BP/USP Grade,78000,MT,10,2000,7,780000,156000000,650000000,22,"ISO 9001,GMP,FSSAI",5000,MT,Vapi GIDC organic solvent manufacturer with 200 TPD capacity. Produces pharmaceutical and food-grade ethyl acetate butyl acetate and IPA. cGMP certified facility.,72000,6
Thane Polymers and Resins Ltd,IITPR3456I,27IITPR3456I1Z9,Chemicals & Petrochemicals,sales@thanepolymers.com,Thane,Maharashtra,27,400601,MANUFACTURING_PLANT,"Epoxy Resins,Polyurethane,Adhesives","3907,3909,3506",Liquid Epoxy Resin DGEBA,Chemicals,Standard Bisphenol-A,245000,MT,5,500,10,1225000,122500000,480000000,19,"ISO 9001,BIS ISI Mark",1500,MT,Thane-based specialty polymer manufacturer. Produces epoxy resins PU foams and industrial adhesives. Supplies to automotive aerospace and construction sectors.,220000,8
Vizag Petrochemical Industries,JJVPI7890J,37JJVPI7890J1Z7,Chemicals & Petrochemicals,procurement@vizagpetro.com,Visakhapatnam,Andhra Pradesh,37,530012,MANUFACTURING_PLANT,"HDPE,LDPE,Polypropylene","3901,3902,3903",HDPE Granules Injection Moulding,Chemicals,MFI 8-12,115000,MT,25,10000,5,2875000,1150000000,2800000000,28,"ISO 9001,ISO 14001",15000,MT,Visakhapatnam petrochemical complex producing polyolefins. 180 KTPA HDPE and 120 KTPA PP capacity. Feedstock from HPCL refinery. Pan-India distribution network.,108000,5
Hyderabad Generics Pharma Ltd,KKHGP1234K,36KKHGP1234K1Z5,Pharmaceuticals,supply@hydgenerics.com,Hyderabad,Telangana,36,500072,MANUFACTURING_PLANT,"API,Bulk Drugs,Intermediates","3004,2942,2933",Metformin HCl API,Pharmaceuticals,USP Grade,3200,Kg,100,10000,21,320000,32000000,750000000,20,"WHO GMP,US FDA,EU GMP,ISO 14001",500,MT,Hyderabad bulk drug manufacturer with WHO GMP and US FDA approved facility. Produces metformin paracetamol and cardiovascular APIs. Exports to 40+ regulated markets.,2800,10
Ahmedabad Formulations Pvt Ltd,LLAFP5678L,24LLAFP5678L1Z3,Pharmaceuticals,business@aaboratory.com,Ahmedabad,Gujarat,24,382210,MANUFACTURING_PLANT,"Tablets,Capsules,Injectables","3004,3003,3002",Paracetamol 500mg Tablets,Pharmaceuticals,IP/BP Grade,0.45,Tablet,100000,50000000,14,45000,22500000,420000000,17,"WHO GMP,ISO 9001,Schedule M",100000000,Tablet,Ahmedabad-based pharmaceutical formulation plant with WHO GMP certification. 200 crore tablet capacity annually. Contract manufacturing for 30+ brands in domestic and African markets.,0.38,15
Baddi Lifesciences Corp,MMBLS9012M,02MMBLS9012M1Z1,Pharmaceuticals,orders@baddipharma.com,Baddi,Himachal Pradesh,02,173205,MANUFACTURING_PLANT,"Syrups,Ointments,Capsules","3004,3003,3305",Cough Syrup 100ml,Pharmaceuticals,Ayurvedic + Allopathic,18,Bottle,50000,5000000,10,900000,90000000,280000000,14,"GMP,Ayush License,FSSAI",8000000,Bottle,Baddi pharma unit manufacturing liquid orals ointments and soft gelatin capsules. Dual license for Ayurvedic and Allopathic. Tax benefit zone operation. 25+ product SKUs.,15,12
Goa BioTech Research Pvt Ltd,NNGBT3456N,30NNGBT3456N1Z9,Pharmaceuticals,export@goabiotech.com,Verna,Goa,30,403722,MANUFACTURING_PLANT,"Biologics,Vaccines,Injectables","3002,3001,3004",Hepatitis B Vaccine,Pharmaceuticals,WHO Prequalified,85,Dose,10000,2000000,30,850000,170000000,620000000,12,"WHO PQ,US FDA,DCGI",30000000,Dose,Goa-based biopharmaceutical company specializing in recombinant vaccines and biologics. WHO prequalified Hepatitis B vaccine. State-of-art BSL-2 facility. UNICEF supplier.,72,8
Mumbai Nutraceuticals Ltd,OOMMN7890O,27OOMMN7890O1Z7,Pharmaceuticals,b2b@mumbanutri.com,Mumbai,Maharashtra,27,400063,MANUFACTURING_PLANT,"Nutraceuticals,Dietary Supplements,Probiotics","2106,2936,3004",Multivitamin Softgel Capsules,Pharmaceuticals,FSSAI Approved,2.5,Capsule,200000,20000000,12,500000,50000000,350000000,10,"FSSAI,GMP,ISO 22000,Halal",40000000,Capsule,Mumbai-based nutraceutical manufacturer. Produces softgel capsules tablets and powder sachets. FSSAI and Halal certified. Private label manufacturing for 50+ brands.,2.1,12
Chennai Precision Auto Pvt Ltd,PPCPA1234P,33PPCPA1234P1Z5,Auto Components,orders@chennaiprecision.com,Sriperumbudur,Tamil Nadu,33,602105,MANUFACTURING_PLANT,"Engine Components,Transmission Parts,Suspension","8409,8708,8708",Cylinder Head Assembly,Auto Components,OEM Grade,8500,Piece,200,20000,14,1700000,170000000,520000000,24,"IATF 16949,ISO 9001,TS 16949",50000,Piece,Sriperumbudur auto component manufacturer. IATF 16949 certified. Supplies cylinder heads crankshafts and transmission housings to Hyundai Renault and Ford. CNC machining and die casting facility.,7500,10
Pune Die Cast Industries Ltd,QQPDC5678Q,27QQPDC5678Q1Z3,Auto Components,supply@punediecast.com,Chakan,Maharashtra,27,410501,MANUFACTURING_PLANT,"Aluminium Die Cast,Zinc Die Cast,Machined Components","7616,7907,8409",Aluminium Die Cast Housing,Auto Components,ADC12 Alloy,320,Piece,1000,100000,10,320000,32000000,280000000,18,"IATF 16949,ISO 14001",200000,Piece,Pune Chakan industrial area die casting specialist. 800T and 1650T HPDC machines. Produces aluminium housings brackets and covers for 2W and 4W OEMs.,280,8
